feature_id	S000	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039
Feature_0157	2	3	2	0	0	0	0	1	0	6	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	5	4	0	0	0	5	0	0	4	0	4	0
Feature_0158	0	0	0	0	1	0	3	1	0	5	0	1	0	0	0	5	7	1	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	10	1	12	0	4
Feature_0159	1	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	4	10	0	9	6	10	0	0	6	0	18	0	0	0	9	0	20	0	0	0	62	0	21
Feature_0160	0	0	0	0	4	3	0	0	0	0	11	1	0	0	0	4	0	0	1	0	6	0	0	0	1	6	0	4	1	0	0	0	4	0	0	10	0	0	8	0
Feature_0161	3	2	8	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	1	0	0	0	0	0	0	3	4	0	0	1	0	0	0	1	4	2	0	0	0
Feature_0162	0	0	0	0	0	9	0	0	1	5	0	0	0	0	2	4	0	1	0	5	0	0	0	0	1	0	10	0	0	0	0	0	0	1	0	0	0	6	0	0
Feature_0163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	0	0	15	0	0	11	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	4
Feature_0164	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	6	0	5	0	5	0	0	0	2	0	0	0	1	1	3	1	0	1	0	3
Feature_0165	0	0	2	1	3	0	0	2	1	0	2	0	0	4	1	9	0	3	1	0	0	0	0	11	6	0	19	14	8	0	0	0	9	0	0	0	0	0	30	0
Feature_0166	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	4	0	0	0	5	10	0	0	0	1	0	3	2	2	6	0	1	0	3	0	0	2	10	4	3
Feature_0167	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	7	0	0	8	0	4	0	0	4	5	0	0	0	0	0	0	2	3	0	0	0	0	1
Feature_0168	2	0	0	0	0	1	9	1	5	5	0	0	0	0	0	0	0	0	0	0	3	1	0	0	6	0	16	1	0	0	0	11	0	0	0	0	0	0	0	1
Feature_0169	3	0	1	0	0	2	4	0	0	5	6	0	2	0	0	0	2	0	2	0	0	0	1	1	0	0	8	2	0	4	0	0	0	0	0	4	0	0	0	0
Feature_0170	0	0	2	0	0	0	7	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	4	2	0	6	4	0	0	0	0
Feature_0171	1	0	0	0	1	0	0	0	5	0	0	0	2	0	0	1	2	1	0	1	0	0	0	2	0	4	4	0	0	0	0	5	2	0	0	0	2	0	6	0
Feature_0172	0	0	0	3	0	0	1	0	0	2	3	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	0
Feature_0173	0	0	1	0	1	0	1	0	0	8	1	0	1	5	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	4	0	0
Feature_0174	0	2	0	0	1	0	0	0	4	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	5	0	0	2	1	0	0	2	0	0	1
Feature_0175	0	0	3	0	0	0	0	0	1	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Feature_0176	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Feature_0177	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0
Feature_0178	1	0	0	0	4	1	0	0	0	1	0	2	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Feature_0179	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0
Feature_0180	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Feature_0181	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	2
Feature_0182	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Feature_0183	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	3	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Feature_0184	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	2	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	5
Feature_0185	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	4	0	0	0	2	0	0	4	1	0	0	1	0	1
Feature_0186	0	0	5	0	0	0	0	0	1	0	0	4	1	0	1	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Feature_0187	1	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	2	1	0	0
Feature_0188	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0189	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	2	0	0	0	2	0	0	3	4	1	0	0	4	0	4	0	0
Feature_0190	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	2	0	0	0	0
Feature_0191	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Feature_0192	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0
Feature_0193	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	2	0	0	0	1	1	0	1	0	1
Feature_0194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Feature_0195	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Feature_0197	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
